Year,biomass_relative_to_msy,total_biomass,spawning_stock_biomass,total_number,total_catch,recreational_catch,fishing_mortality,exploitation_rate,total_biomass_relative_to_msy,spawning_stock_relative_to_msy,fishing_mortality_relative_to_msy,catch_relative_to_msy,catch_corresponding_to_total_allowable_advised,total_allowable_catch,scientific_advice_for_catch_limit,fishing_effort
1930,2.72,1140000.0,0.0,0.0,0.0,0.0,0.0105,0.0,2.72,1.9,0.112,0.0,0.0,0.0,0.0,0.0
1931,2.69,9690000.0,1280000.0,0.0,0.0,0.0,0.0152,0.0,2.69,1.89,0.157,0.0,0.0,0.0,0.0,0.0
1932,2.65,9670000.0,1280000.0,0.0,0.0,0.0,0.0117,0.0,2.65,1.87,0.131,0.0,0.0,0.0,0.0,0.0
1933,2.63,9660000.0,1280000.0,0.0,0.0,0.0,0.0108,0.0,2.63,1.87,0.118,0.0,0.0,0.0,0.0,0.0
1934,2.61,9650000.0,1280000.0,0.0,0.0,0.0,0.0169,0.0,2.61,1.86,0.196,0.0,0.0,0.0,0.0,0.0
1935,2.57,9640000.0,1280000.0,0.0,0.0,0.0,0.0201,0.0,2.57,1.84,0.219,0.0,0.0,0.0,0.0,0.0
1936,2.53,9630000.0,1280000.0,0.0,0.0,0.0,0.0155,0.0,2.53,1.82,0.179,0.0,0.0,0.0,0.0,0.0
1937,2.51,9620000.0,1280000.0,0.0,0.0,0.0,0.0126,0.0,2.51,1.81,0.146,0.0,0.0,0.0,0.0,0.0
1938,2.49,9610000.0,1280000.0,0.0,0.0,0.0,0.0146,0.0,2.49,1.81,0.158,0.0,0.0,0.0,0.0,0.0
1939,2.48,9600000.0,1280000.0,0.0,0.0,0.0,0.0172,0.0,2.48,1.8,0.187,0.0,0.0,0.0,0.0,0.0
1940,2.46,9610000.0,1280000.0,0.0,0.0,0.0,0.0105,0.0,2.46,1.79,0.127,0.0,0.0,0.0,0.0,0.0
1941,2.45,9510000.0,1280000.0,0.0,0.0,0.0,0.014,0.0,2.45,1.8,0.146,0.0,0.0,0.0,0.0,0.0
