general_total_biomass,general_total_catch,general_exploitation_rate,biomass_relative_to_msy,harvest_relative_to_preferred_rate,biomass_relative_to_preferred_management_rate,harvest_rate_relative_to_management_target,total_biomass,spawning_stock_biomass,total_number,recruits,total_catch,total_landings,recreational_catch,fishing_mortality,exploitation_rate,total_biomass_relative_to_msy,spawning_stock_relative_to_msy,number_relative_to_msy,fishing_mortality_relative_to_msy,exploitation_rate_relative_to_msy,catch_relative_to_msy,catch_relative_to_mean_catch,total_biomass_relative_to_management_target,spawning_stock_relative_to_management_target,number_relative_to_management_target,fishing_mortality_relative_to_management_target,exploitation_rate_relative_to_management_target,catch_corresponding_to_total_allowable_advised,total_allowable_catch,scientific_advice_for_catch_limit,survey_biomass,catch_per_unit_effort,fishing_effort,Entity,Year,biomass_relative_to-preferred_management_rate
1140000,,,2.72,0.112,,0.112,1140000,,,,,,,0.0105,,2.72,1.9,,0.112,,,,1.895245,,,0.166667,,,,,,,,Albacore tuna Northern Atlantic,1930,2.72
1130000,,,2.69,0.157,,0.157,1130000,,,,,,,0.0152,,2.69,1.89,,0.157,,,,1.881461,,,0.22619,,,,,,,,Albacore tuna Northern Atlantic,1931,2.69
1110000,,,2.65,0.131,,0.131,1110000,,,,,,,0.0117,,2.65,1.87,,0.131,,,,1.869975,,,0.190476,,,,,,,,Albacore tuna Northern Atlantic,1932,2.65
1100000,,,2.63,0.118,,0.118,1100000,,,,,,,0.0108,,2.63,1.87,,0.118,,,,1.863083,,,0.166667,,,,,,,,Albacore tuna Northern Atlantic,1933,2.63
1090000,,,2.61,0.196,,0.196,1090000,,,,,,,0.0169,,2.61,1.86,,0.196,,,,1.849299,,,0.27381,,,,,,,,Albacore tuna Northern Atlantic,1934,2.61
1080000,,,2.57,0.219,,0.219,1080000,,,,,,,0.0201,,2.57,1.84,,0.219,,,,1.828624,,,0.309524,,,,,,,,Albacore tuna Northern Atlantic,1935,2.57
1070000,,,2.53,0.179,,0.179,1070000,,,,,,,0.0155,,2.53,1.82,,0.179,,,,1.812543,,,0.25,,,,,,,,Albacore tuna Northern Atlantic,1936,2.53
1060000,,,2.51,0.146,,0.146,1060000,,,,,,,0.0126,,2.51,1.81,,0.146,,,,1.807949,,,0.202381,,,,,,,,Albacore tuna Northern Atlantic,1937,2.51
1050000,,,2.49,0.158,,0.158,1050000,,,,,,,0.0146,,2.49,1.81,,0.158,,,,1.805651,,,0.22619,,,,,,,,Albacore tuna Northern Atlantic,1938,2.49
1040000,,,2.48,0.187,,0.187,1040000,,,,,,,0.0172,,2.48,1.8,,0.187,,,,1.798759,,,0.261905,,,,,,,,Albacore tuna Northern Atlantic,1939,2.48
1040000,,,2.46,0.127,,0.127,1040000,,,,,,,0.0105,,2.46,1.79,,0.127,,,,1.796462,,,0.178571,,,,,,,,Albacore tuna Northern Atlantic,1940,2.46
1030000,,,2.45,0.146,,0.146,1030000,,,,,,,0.014,,2.45,1.8,,0.146,,,,1.798759,,,0.202381,,,,,,,,Albacore tuna Northern Atlantic,1941,2.45
1030000,,,2.44,0.186,,0.186,1030000,,,,,,,0.0169,,2.44,1.8,,0.186,,,,1.794165,,,0.261905,,,,,,,,Albacore tuna Northern Atlantic,1942,2.44
1020000,,,2.43,0.187,,0.187,1020000,,,,,,,0.0169,,2.43,1.79,,0.187,,,,1.787273,,,0.261905,,,,,,,,Albacore tuna Northern Atlantic,1943,2.43
1010000,,,2.41,0.191,,0.191,1010000,,,,,,,0.0169,,2.41,1.78,,0.191,,,,1.780381,,,0.261905,,,,,,,,Albacore tuna Northern Atlantic,1944,2.41
1000000,,,2.4,0.312,,0.312,1000000,,,,,,,0.0283,,2.4,1.78,,0.312,,,,1.7643,,,0.428571,,,,,,,,Albacore tuna Northern Atlantic,1945,2.4
987000,,,2.36,0.268,,0.268,987000,,,,,,,0.0245,,2.36,1.75,,0.268,,,,1.741328,,,0.369048,,,,,,,,Albacore tuna Northern Atlantic,1946,2.36
977000,,,2.33,0.236,,0.236,977000,,,,,,,0.0213,,2.33,1.73,,0.236,,,,1.729841,,,0.321429,,,,,,,,Albacore tuna Northern Atlantic,1947,2.33
966000,,,2.31,0.282,,0.282,966000,,,,,,,0.0257,,2.31,1.73,,0.282,,,,1.718355,,,0.380952,,,,,,,,Albacore tuna Northern Atlantic,1948,2.31
956000,,,2.29,0.33,,0.33,956000,,,,,,,0.0307,,2.29,1.71,,0.33,,,,1.702274,,,0.452381,,,,,,,,Albacore tuna Northern Atlantic,1949,2.29
943000,,,2.26,0.475,,0.475,943000,,,,39600,,,0.0409,,2.26,1.69,,0.475,0.647848,1.080491,,1.667815,,,0.654762,,,,,,,,Albacore tuna Northern Atlantic,1950,2.26
